# Index number,# Trap location y-coordinate of trap in SVY21 coordinate system,# Trap location x-coordinate of trap in SVY21 coordinate system,"# Deployment contractor, grouped A or B/C",# Trap deployment date in Julian date format (yyddd),"# sin(ops_start), to account for seasonal variations","# cos(ops_start),  to account for seasonal variations",# Population density of crows at trap vicinity (crow per hectare); estimate from data by Tan et al 2020,"# Number of feeding cases in a 250m radius around trap, prior to trap deployement","# Number of feeding cases in a 500m radius around trap, prior to trap deployement","# Percentage of built up area (including roads, buildings, and other urban structures) in a 250m radius of trap ","# Percentage of vegetated areas that are routinely managed (e.g., planted and maintained by pruning) and utilized by humans, such as urban parks and gardens, in a 250m radius of the trap",# Percentage of tree canopy cover in a 250m radius of the trap,"# Percentage of built up area (including roads, buildings, and other urban structures) in a 500m radius of trap ","# Percentage of vegetated areas that are routinely managed (e.g., planted and maintained by pruning) and utilized by humans, such as urban parks and gardens, in a 500m radius of the trap",# Percentage of tree canopy cover in a 500m radius of the trap,"# Spatial-temporal index of proximity; a smaller interval between this trap and the previous one, smaller  distance between adjacent traps, and greater number of prior traps would give a greater value",# Total number of crows caught per active day of operation; inactive days where the trap was not monitored or operated (eg weekends) or days of inclement weather were excluded,# Presence of other birds trapped (Javan mynas or rock pigeons)
80,39575.65636,34402.54001,B/C,22313,-0.78941791,0.613856142,0.180745711,43,68,61.55364218,34.77306798,4.90733479,70.31608033,26.66348548,7.203582004,251.4659454,0.921568628,TRUE
81,36717.76598,39098.78064,A,22215,-0.522132581,-0.852864331,0.166583033,1,12,72.14523738,27.85219966,8.063705149,71.61947254,27.4451726,9.591624969,106.3989295,4.833333333,FALSE
82,37856.88821,40605.32547,A,22224,-0.647160667,-0.762353639,0.15738346,5,10,63.72771966,33.05775997,7.795055803,52.25679821,30.85721495,14.62471507,110.6020626,1.166666667,FALSE
83,37856.77752,40602.84374,A,22299,-0.91284586,0.408304342,0.15738346,8,14,63.66389554,33.10376805,7.973522093,52.21693086,30.8905003,14.63532951,180.6092244,2.142857143,FALSE
84,34934.13309,37256.5628,A,22234,-0.767880446,-0.640593179,0.280309064,7,20,63.0628393,36.9371607,21.37850369,61.68888896,36.97124944,16.81978267,142.3695276,5.285714286,FALSE
85,37077.93288,39667.12944,A,22242,-0.848351198,-0.529433891,0.309519267,6,23,78.20482889,21.551224,2.659605947,77.27310695,22.12103021,4.740854012,135.5287584,0.571428571,FALSE
86,37352.12296,41500.92383,A,22245,-0.874480958,-0.485059846,0.133100244,9,26,81.63964678,18.34134066,2.232764044,78.00112351,21.99288847,4.01606421,137.0757881,1.125,FALSE
87,34574.66209,38703.73294,A,22262,-0.977063856,-0.21294652,0.341452151,6,42,54.52922948,45.47021133,29.79864396,62.61588837,37.08522299,22.64723347,144.4733087,1.75,FALSE
88,37351.96771,41492.06525,A,22299,-0.91284586,0.408304342,0.133100244,10,33,81.52530905,18.45567841,2.193665096,78.07643213,21.9176614,4.003949766,174.2433674,1.142857143,FALSE
89,35371.34916,37958.2509,A,22292,-0.955210651,0.295926701,0.277482624,2,8,54.85450986,39.28315299,13.96293395,44.18449464,45.19332593,24.98090005,164.2696708,2.428571429,FALSE
90,34943.01201,37249.03931,A,22308,-0.839137755,0.543918954,0.280309064,16,30,63.27088567,36.72911433,20.88317706,61.80638941,36.86442026,16.6750565,187.1839264,1.125,FALSE
91,35165.12297,37218.40491,A,23044,0.685547606,0.728027801,0.27778481,18,43,64.44108308,32.70708505,8.88355482,59.9380111,38.04340621,16.76638363,281.6001417,1.285714286,FALSE
92,34406.63107,34850.84892,A,22180,0.051478755,-0.99867409,0.227018897,1,2,79.18785203,20.7551566,0.165195749,80.32587176,18.82128976,2.64649504,72.55489597,7.333333333,FALSE
93,46503.41978,23921.59506,A,22337,-0.477535886,0.878612245,0.257112313,3,19,78.945269,19.72837205,9.376080524,73.64187804,25.33467105,11.36732884,207.465801,0.428571429,FALSE
94,43881.45161,18546.69898,A,22337,-0.477535886,0.878612245,0.006150707,0,0,67.1979485,32.8020515,1.422545437,83.05255841,16.34283778,1.406346348,205.5122676,6.428571429,TRUE
95,33270.45924,20430.48128,A,23010,0.170829743,0.985300563,0.306006355,8,37,64.69439423,35.03323235,22.6192024,69.38548457,30.44728188,18.23938431,239.7382613,3,FALSE
96,31775.98455,36379.60629,A,23061,0.866025404,0.5,0.308034833,8,18,71.34946546,28.60421464,14.86999207,63.93266901,32.72899754,20.70039111,333.1867682,1.714285714,FALSE
97,38974.81339,30275.81853,A,22347,-0.320423273,0.947274472,0.354082509,23,93,57.66942208,42.33057792,5.251503176,57.67872889,42.32127111,9.246071406,228.7094036,5.375,FALSE
98,33879.40625,33723.83847,A,23015,0.25467112,0.967027725,0.350561105,14,65,60.49217432,35.05627119,10.08920537,59.16705888,36.51169645,12.87235257,254.9714268,4.857142857,FALSE
99,33139.53413,33508.84077,A,23019,0.320423273,0.947274472,0.318059849,9,82,74.54525883,25.01120718,4.857484764,73.17068823,26.58077388,8.957545852,256.1875454,1.857142857,FALSE
100,38852.83084,30674.8872,A,23038,0.607057574,0.794657852,0.327955631,11,48,55.2596654,44.7403346,23.68475746,57.55659356,42.40343578,18.17129836,275.2385103,2,FALSE
101,34546.13966,37979.14772,A,23041,0.647160667,0.762353639,0.296675601,17,37,60.52786582,39.47157499,13.18713938,59.46883161,40.52543665,17.18208755,275.1590486,0.428571429,FALSE
102,32695.22531,37996.06386,B/C,22201,-0.304114832,-0.952635381,0.186074604,2,3,78.38990357,21.48940374,5.153764354,73.11993523,26.07008551,7.666802582,112.820574,0.741935484,TRUE
103,35638.40105,9678.35009,B/C,22172,0.187718565,-0.982222857,0.02317534,0,0,2.730485961,27.21632094,87.88767705,10.14096439,33.63219479,72.58656686,69.59252711,0.888888889,FALSE
104,32274.88337,30456.4546,B/C,22145,0.607057574,-0.794657852,0.323610478,3,12,90.64211368,9.236168325,3.938406594,80.49962691,18.21868041,5.098997473,86.79064816,1.134615385,TRUE
105,35041.73458,31668.79639,A,23018,0.304114832,0.952635381,0.246905409,10,22,61.44125907,32.98756685,15.89179094,62.19256008,34.28760681,15.53509564,255.4529438,3.571428571,FALSE
106,36772.09464,38903.64425,A,22266,-0.989372413,-0.145403674,0.166583033,2,12,70.89194746,29.10525658,14.65132556,65.09278645,31.92468693,10.51243529,149.9961954,0.428571429,FALSE
107,37351.62516,41496.79504,A,22359,-0.119881192,0.992788245,0.133100244,10,35,81.5661681,18.41481935,2.215055237,78.02349916,21.97051281,4.017418401,251.4145834,0.285714286,FALSE
108,35028.38609,36540.52186,B/C,22200,-0.287716767,-0.957715543,0.233831051,4,22,76.33762374,23.40002172,4.563710914,81.11460244,18.58059069,4.478228513,89.80391916,0,FALSE
109,34231.357,35626.7001,A,22234,-0.767880446,-0.640593179,0.245907389,6,12,67.66549578,30.62886951,7.966276877,64.38699644,34.48329411,4.672359561,141.8241623,0,FALSE
110,38912.55054,30487.52217,A,22259,-0.964806136,-0.262962203,0.354082509,11,54,62.64696316,37.35303684,8.61112069,56.30160302,43.69839698,16.70301032,148.9648182,0.625,FALSE
111,45312.29091,27741.12111,A,23068,0.919720437,0.392573965,0.218052866,74,127,67.86869616,31.82742967,1.150024651,66.36879524,32.06414693,5.313769799,386.3405318,0.714285714,FALSE
112,35496.31497,29334.07419,A,23069,0.926323968,0.376727894,0.314834793,13,34,76.42987688,23.57012312,11.57056489,70.34563946,29.65436054,12.33706517,367.9367156,2.333333333,FALSE
113,39559.06285,18208.1836,A,23073,0.949989923,0.312280557,0.027468512,4,18,59.33928594,39.237196,3.761316079,50.15726731,33.59619693,16.65332563,365.278292,1.714285714,FALSE
114,42927.18756,37113.19372,A,23075,0.960149874,0.279485635,0.003842067,2,6,81.91649782,9.922384243,0,64.68984803,29.87630642,0.478017175,387.7906791,3.625,FALSE
115,39407.59558,41101.29636,A,23074,0.955210651,0.295926701,0.266479766,6,14,44.59143969,40.76455649,15.5671381,47.10007569,39.35290611,18.4526817,380.231046,3,FALSE
116,39406.59558,41100.29636,A,23077,0.969178065,0.246361274,0.266479766,6,14,44.59143969,40.76455649,15.5671381,47.10007569,39.35290611,18.4526817,405.1624027,0.333333333,FALSE
117,37364.86106,41497.80711,A,23080,0.980575394,0.196142541,0.133100244,14,36,82.14915469,17.83178624,2.08983392,78.33609823,21.65797199,3.930893078,363.5800705,0.857142857,FALSE
118,29163.3606,30241.98876,A,23094,0.999079167,-0.042904758,0.217224453,1,6,79.06562769,14.95856854,3.317918278,66.61896438,18.97395977,2.897867097,377.6927255,2.857142857,TRUE
119,35057.97569,31658.84688,A,23095,0.998195433,-0.060048959,0.246905409,11,24,59.85846775,34.21975058,15.99595888,61.72667836,34.69061892,15.7427032,382.5234433,1.428571429,FALSE
120,29002.52657,30471.0639,A,23068,0.919720437,0.392573965,0.217224453,0,3,49.1418972,48.57548271,4.672837967,55.04482692,35.67222555,5.022127165,357.0189625,7.285714286,FALSE
121,39558.06285,18207.1836,A,23073,0.949989923,0.312280557,0.027468512,4,18,59.33928594,39.237196,3.761316079,50.15726731,33.59619693,16.65332563,365.271928,1.714285714,FALSE
122,40080.44125,18654.65532,A,23101,0.986730579,-0.162366141,0.044094195,15,31,79.43496301,20.18310789,12.35440001,72.89567024,26.17944822,10.56837052,391.8830397,0.857142857,FALSE
123,39494.67428,21476.13682,A,23115,0.919720437,-0.392573965,0.217108309,10,34,56.94038899,26.97859126,22.58588986,49.6136155,33.56758837,31.62919437,426.9409918,0.5,FALSE
124,39806.56664,21292.18599,A,23115,0.919720437,-0.392573965,0.276509541,27,123,70.96253784,24.6330766,8.463563025,63.84810403,31.32524352,17.8846049,429.1870947,1.166666667,FALSE
125,35070.17468,31686.44653,A,23139,0.685547606,-0.728027801,0.246905409,13,28,61.16138935,33.83023905,16.95964532,61.56484755,34.86006957,15.17457127,463.4138521,0.333333333,FALSE
126,29416.37027,30637.08382,A,23142,0.647160667,-0.762353639,0.140136721,2,2,44.15544473,5.344915482,0.741491165,45.11794126,20.22641003,3.290591226,453.2444455,0,FALSE
127,45535.70628,29604.96792,A,23130,0.78941791,-0.613856142,0.201417386,16,38,56.77344946,43.22655054,20.59181386,38.75564056,57.7094706,34.5773425,446.5473102,0.714285714,FALSE
128,46657.79447,28518.07699,A,23130,0.78941791,-0.613856142,0.138311265,23,52,70.84589189,29.15410811,7.338015646,72.37597445,27.62195187,8.355079734,443.6743109,1.571428571,TRUE
129,46543.8697,28767.09901,A,23130,0.78941791,-0.613856142,0.109192629,21,63,85.76189029,14.22995482,4.878767093,81.09911318,18.80215425,5.158022799,443.5941819,0.5,TRUE
130,46370.89613,27910.0064,A,23146,0.593326764,-0.804961708,0.239833571,27,70,64.97568209,35.02287333,15.07580096,64.60289417,33.99043197,16.24608929,470.2646691,3.714285714,FALSE
131,35292.39333,37174.97543,A,23138,0.697944155,-0.716152188,0.27778481,13,50,54.25792376,43.20464763,8.240631664,59.65801124,35.29249489,15.7835157,466.0821199,4.857142857,FALSE
132,38779.67159,30368.70118,B/C,23062,0.874480958,0.485059846,0.354082509,29,107,63.19899532,36.80100468,17.09774902,58.60897673,41.39102327,15.306107,330.1500766,0,FALSE
133,38952.44327,30178.4974,A,23146,0.593326764,-0.804961708,0.354082509,82,149,56.5346979,43.4653021,5.104250498,59.03536264,40.96463736,9.237638875,478.4639929,2.375,FALSE
134,32248.71481,34281.60557,A,23109,0.955210651,-0.295926701,0.270674719,3,6,61.307393,28.15088888,6.683799716,62.53927309,32.21149181,5.9734013,439.0304042,0,FALSE
135,33122.19578,33498.23514,A,23109,0.955210651,-0.295926701,0.318059849,9,88,75.71280918,23.82725381,4.685905424,74.15592764,25.59535973,8.650560672,414.0493988,0,FALSE
136,34115.63837,33717.72376,A,23086,0.995545794,0.094279222,0.342276075,4,43,49.50604904,44.31043047,6.525558234,61.88802272,34.47319047,7.175881996,366.0213879,5.571428571,FALSE
137,45311.29091,27740.12111,A,23068,0.919720437,0.392573965,0.218052866,74,127,67.86869616,31.82742967,1.150024651,66.36879524,32.06414693,5.313769799,366.3601817,0.714285714,FALSE
138,36045.76646,29346.44525,A,23140,0.672949024,-0.739688861,0.271484738,3,24,60.75868496,35.00356485,25.19466903,58.09261743,37.25069477,22.2884257,466.0700702,1,FALSE
139,31678.95818,36110.59658,A,23097,0.995545794,-0.094279222,0.308034833,11,16,78.99736947,20.70285724,11.37479584,63.57412585,29.89506738,18.89500144,391.2176561,0,FALSE
140,31774.98455,36378.60629,A,23059,0.848351198,0.529433891,0.308034833,8,18,71.34946546,28.60421464,14.86999207,63.93266901,32.72899754,20.70039111,330.8778299,1.428571429,FALSE
141,31917.7644,37108.80241,A,23059,0.848351198,0.529433891,0.26732511,16,22,70.26731838,29.67769893,16.58305881,58.015283,36.51785565,20.45222512,302.4720423,0.857142857,FALSE
142,44121.22007,36079.50641,A,23126,0.829677014,-0.558243722,0.002604987,0,1,26.71860627,49.12071741,38.19937426,15.35207289,31.02472621,50.62731504,439.9664075,0,FALSE
143,35117.70581,37140.80424,A,23119,0.890616509,-0.454755136,0.27778481,24,49,68.26294344,29.47018386,10.97587458,63.73996161,34.84207566,14.35482958,442.1569154,1,FALSE
144,46656.79447,28517.07699,A,23138,0.697944155,-0.716152188,0.138311265,23,52,70.84589189,29.15410811,7.338015646,72.37597445,27.62195187,8.355079734,485.5623337,3.2,FALSE
145,40142.07481,39674.4648,A,23054,0.799839245,0.600214281,0.108256728,21,40,72.21772277,27.69485633,4.285208347,69.29041916,26.42308768,8.257857825,321.8949133,0.5,FALSE
146,42918.46409,35399.10573,A,23146,0.593326764,-0.804961708,0.012837524,5,53,64.88203609,35.11796391,0.102518555,67.6691216,29.97343599,0.135196628,481.3817753,0.857142857,FALSE
147,44457.36534,36336.83295,A,23126,0.829677014,-0.558243722,0.002011272,0,1,12.43367727,20.47036598,78.02880408,14.98908993,27.36697341,46.29999965,448.967954,0,FALSE
148,42636.22665,34780.1273,A,23146,0.593326764,-0.804961708,0.016366023,11,35,57.92021697,41.44225504,8.492016338,50.20255013,46.41749034,10.81621067,480.7200985,0,FALSE
149,42682.53053,34588.01232,A,23065,0.898291752,0.43939951,0.019557178,11,20,48.04962837,51.32621916,30.68058436,38.40756653,40.92407261,15.36995361,325.8328245,2.285714286,FALSE
150,32263.92426,32214.09085,A,23066,0.905702263,0.423914391,0.247201593,0,1,32.05223435,46.27907345,13.90884385,44.44494798,40.88644201,8.533063274,320.6385826,9.428571429,FALSE
151,42926.18756,37112.19372,A,23075,0.960149874,0.279485635,0.003842067,2,6,81.91649782,9.922384243,0,64.68984803,29.87630642,0.478017175,387.7649244,3.625,FALSE
152,39405.59558,41099.29636,A,23074,0.955210651,0.295926701,0.266479766,6,14,44.59143969,40.76455649,15.5671381,47.10007569,39.35290611,18.4526817,380.2361775,3,FALSE
153,42863.07711,35000.80226,A,23085,0.99378067,0.111355197,0.016366023,22,36,89.78922612,9.105482004,0.028425652,67.43526177,31.69584566,1.377315408,370.5270762,0,FALSE
154,44379.88943,35757.24821,A,23116,0.91284586,-0.408304342,0.002604987,1,2,13.2138337,21.48691394,26.54342044,14.65618957,20.28402339,27.57231063,426.2313505,0,FALSE
155,44446.13504,35760.98542,A,23105,0.973264374,-0.229687742,0.002604987,1,2,8.438411164,15.40264936,23.79753666,13.0079685,17.78502528,24.42372842,412.1982082,2.857142857,FALSE
156,39532.57944,40660.42305,A,23105,0.973264374,-0.229687742,0.268856494,7,28,57.84341365,42.15649315,4.818898137,54.16937623,32.71276528,18.05500639,414.2230175,1.571428571,FALSE
157,32247.71481,34280.60557,A,23108,0.960149874,-0.279485635,0.270674719,3,6,61.307393,28.15088888,6.683799716,62.53927309,32.21149181,5.9734013,405.0042413,0,FALSE
158,39412.37931,41016.23871,A,23115,0.919720437,-0.392573965,0.269864502,6,17,48.38573036,45.18491767,9.854819882,47.20329477,39.0269714,18.94782693,428.1838706,0,FALSE
159,32232.19129,33590.03417,A,23086,0.995545794,0.094279222,0.324543138,1,7,68.19216327,31.75634429,7.55909049,65.12765555,32.34171757,9.843854739,363.0070218,2.285714286,FALSE
160,39114.81466,41759.2128,A,23119,0.890616509,-0.454755136,0.198434813,7,18,71.83053239,28.16932781,3.853688633,66.28643505,30.20195128,5.875647426,429.8617575,0,FALSE
161,42976.6179,35858.09341,A,23088,0.998195433,0.060048959,0.009550769,9,36,52.02297351,47.96020411,0.040075491,65.80872935,27.75421855,0.672137822,377.384212,1.142857143,FALSE
162,42821.03973,35120.14691,A,23092,0.999963161,-0.008583481,0.012837524,23,29,83.37267877,16.27283953,0.079312193,66.88487994,32.62708468,0.651610871,385.2294213,0.285714286,FALSE
163,39109.69183,41910.74301,A,23092,0.999963161,-0.008583481,0.198434813,8,16,67.40818544,32.3758269,6.090152827,70.9739825,27.72321439,3.683823445,379.7745292,4.142857143,TRUE
164,33328.67614,20460.05271,A,23127,0.819971763,-0.572403973,0.306006355,28,66,65.43847885,34.30569076,23.23774099,67.5274826,32.31582678,20.22794349,436.5295702,3,FALSE
165,33329.55451,20460.98593,A,23172,0.187718565,-0.982222857,0.306006355,29,76,65.43771887,34.30579858,23.23552917,67.53451881,32.30867412,20.22232119,497.8534864,10.85714286,FALSE
166,46353.22242,22882.72662,A,23148,0.565344674,-0.824854775,0.191200756,4,56,90.95555061,9.043843601,2.420331173,76.36341099,23.24840438,7.709520793,460.6597142,0.833333333,FALSE
167,33309.29153,20490.63477,A,23101,0.986730579,-0.162366141,0.306006355,25,62,64.27146155,35.43044259,24.97481307,66.39907342,33.46180403,21.14074433,388.6724312,3.428571429,FALSE
168,39760.1331,34124.90623,A,23137,0.710135016,-0.704065522,0.180745711,10,90,76.63350807,21.47380949,12.78217702,75.12799982,22.94291305,9.390723294,468.3779559,0.285714286,FALSE
169,39618.71388,33387.98448,A,23147,0.579421098,-0.815028338,0.290372787,13,81,67.44128827,32.55871173,9.879862122,73.80176805,25.67297464,9.266113477,479.2045534,1.2,FALSE
170,36905.99712,31873.11981,B/C,23125,0.839137755,-0.543918954,0.178245383,7,31,74.35068324,24.6516691,6.350386869,73.82684465,24.46294442,5.169822905,453.4547385,0.111111111,FALSE
